CountryCode,Year,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
AGO,2020,0.6930783242258652,0.5346083788706739,0.6502732240437158,0.6632513661202186,0.4193989071038251,0.372495446265938,0.7117486338797814,0.8121584699453552,0.3251366120218579,0.5027322404371585,24590.16393442623,0.0
AGO,2021,0.1187214611872146,0.6146118721461187,0.7808219178082192,0.8294520547945206,0.4493150684931506,0.3515981735159816,0.7616438356164383,0.6219178082191781,0.0,0.0,0.0,0.0
AGO,2022,0.0,0.7269406392694063,0.4191780821917808,0.1465753424657534,0.0520547945205479,0.1844748858447488,0.4767123287671233,0.3602739726027397,0.7315068493150685,0.0,,
ARE,2020,0.5537340619307832,0.3715846994535519,0.7950819672131147,0.7650273224043715,0.3155737704918033,0.0965391621129325,0.4385245901639344,0.605191256830601,0.0,1.5027322404371584,637425003.1154929,0.0
ARE,2021,0.4191780821917808,0.4913242009132419,0.7726027397260274,0.8931506849315068,0.2547945205479452,0.0292237442922374,0.5123287671232877,0.5568493150684931,0.0,1.5315068493150683,0.0,0.0
ARE,2022,0.2767123287671232,0.3716894977168949,0.5575342465753425,0.1787671232876712,0.1095890410958904,0.0,0.0794520547945205,0.2773972602739726,0.0,0.0,,
ARG,2020,0.7950819672131147,0.6493624772313297,0.8087431693989071,0.7868852459016393,0.7759562841530054,0.5601092896174863,0.7650273224043715,0.7636612021857924,0.7759562841530054,1.540983606557377,28879024.178054795,0.0
ARG,2021,0.5726027397260274,0.51324200913242,0.810958904109589,0.7746575342465754,0.873972602739726,0.582648401826484,0.8397260273972603,0.7897260273972603,0.7780821917808219,1.0,22362649.684210528,0.0
ARG,2022,0.0547945205479452,0.0,0.0,0.0,0.0068493150684931,0.0045662100456621,0.1095890410958904,0.1623287671232876,0.7945205479452054,0.3972602739726027,,
AZE,2020,0.7996357012750456,0.5610200364298724,0.8060109289617486,0.8005464480874317,0.4412568306010929,0.4990892531876138,0.7281420765027322,0.8271857923497268,1.3907103825136613,0.0,1639959.0051912568,27322.4043715847
AZE,2021,0.7397260273972602,0.7945205479452054,1.0,0.9602739726027396,0.7561643835616438,0.1963470319634702,0.3178082191780822,0.5767123287671233,0.3671232876712328,0.1534246575342465,0.0,0.0
AZE,2022,0.6666666666666666,0.7251141552511414,1.0,0.4684931506849315,0.7506849315068493,0.0,0.7506849315068493,0.75,0.1315068493150684,0.2630136986301369,,
BFA,2020,0.2103825136612022,0.0983606557377049,0.3032786885245901,0.1700819672131147,0.1174863387978142,0.2231329690346083,0.1229508196721311,0.7814207650273224,0.0,0.0,0.0,0.0
BFA,2021,0.0,0.0,0.0,0.0,0.0,0.0621004566210045,0.3068493150684931,0.4917808219178082,0.1150684931506849,0.8082191780821918,0.0,350877.1929824561
BFA,2022,0.0,0.0,0.0,0.0,0.0,0.0082191780821917,0.0,0.25,0.0,0.0,,
BGR,2020,0.575591985428051,0.3324225865209471,0.5642076502732241,0.5689890710382514,0.0,0.1010928961748633,0.133879781420765,0.6147540983606558,1.4918032786885247,0.912568306010929,16319563.424043717,0.0
BGR,2021,0.5095890410958904,0.6164383561643836,0.7698630136986301,0.6753424657534246,0.0301369863013698,0.0200913242009132,0.0301369863013698,0.7465753424657534,2.0,1.4109589041095891,1063711.7300465116,0.0
BGR,2022,0.0858447488584474,0.165296803652968,0.2054794520547945,0.1541095890410959,0.0,0.0,0.0,0.1246575342465753,0.7671232876712328,0.7671232876712328,,
BRA,2020,0.8060109289617486,0.7085610200364298,0.8060109289617486,0.7185792349726776,0.6584699453551912,0.4936247723132969,0.7923497267759563,0.4699453551912568,0.7404371584699454,0.7404371584699454,507706829.1592077,0.0
BRA,2021,0.765296803652968,0.7799086757990868,0.8904109589041096,0.7445205479452055,0.5575342465753425,0.6410958904109589,1.0,0.3595890410958904,0.6246575342465753,0.0,45084375.78488372,0.0
BRA,2022,0.1625570776255707,0.0949771689497716,0.1424657534246575,0.0554794520547945,0.0,0.0,1.0,0.2828767123287671,0.0,0.0,,
BWA,2020,0.4508196721311475,0.3570127504553734,0.5519125683060109,0.6386612021857924,0.0833333333333333,0.3187613843351548,0.6407103825136612,0.7493169398907104,0.4836065573770491,1.03551912568306,960678.8987978144,0.0
BWA,2021,0.3406392694063926,0.3269406392694063,0.6767123287671233,0.6945205479452055,0.0,0.5059360730593607,0.7589041095890411,0.2520547945205479,0.147945205479452,0.2575342465753424,0.0,0.0
BWA,2022,0.0410958904109589,0.0027397260273972,0.0,0.0,0.0,0.0,0.0,0.1636986301369863,0.0,0.0,,
CHL,2020,0.7978142076502732,0.7449908925318762,0.7950819672131147,0.7479508196721312,0.4180327868852459,0.7304189435336976,0.7704918032786885,0.7336065573770492,1.2923497267759565,1.0792349726775956,42459016.39344262,32786885.24590164
CHL,2021,0.669406392694064,0.8447488584474885,0.873972602739726,0.8253424657534246,0.4904109589041096,0.6767123287671233,0.7479452054794521,0.6760273972602739,1.2054794520547945,1.095890410958904,0.0,0.0
CHL,2022,0.2493150684931507,0.2493150684931507,0.373972602739726,0.2575342465753424,0.0,0.0,0.0,0.25,0.0,0.0,,
CIV,2020,0.4708561020036429,0.2440801457194899,0.5532786885245902,0.3681693989071038,0.1707650273224043,0.2358834244080145,0.3265027322404371,0.5621584699453552,0.5573770491803278,1.215846994535519,1099869.9756164383,4371.584699453552
CIV,2021,0.0,0.0,0.0,0.0,0.0,0.3278538812785387,0.0,0.5164383561643836,0.5315068493150685,0.021917808219178,0.0,1364255.73539823
CIV,2022,0.0374429223744292,0.2073059360730593,0.0,0.0,0.0,0.0,0.0,0.234931506849315,0.1808219178082191,0.0,,
CRI,2020,0.8014571948998178,0.5683060109289617,0.8114754098360656,0.4692622950819672,0.087431693989071,0.250455373406193,0.4508196721311475,0.5806010928961749,0.7295081967213115,0.7841530054644809,1473368.745901639,4365.277322404371
CRI,2021,0.650228310502283,0.6666666666666666,0.9164383561643836,0.6684931506849315,0.0,0.3333333333333333,0.6109589041095891,0.25,0.4328767123287671,1.0,0.0,0.0
CRI,2022,0.0493150684931506,0.1643835616438356,0.1232876712328767,0.1232876712328767,0.0,0.0821917808219178,0.1191780821917808,0.0595890410958904,0.0,0.4684931506849315,,
DNK,2020,0.4562841530054645,0.4881602914389799,0.4426229508196721,0.7042349726775956,0.2923497267759563,0.25591985428051,0.1092896174863388,0.6666666666666666,1.628415300546448,1.4098360655737705,126819634.54144809,261384.3032786885
DNK,2021,0.5926940639269406,0.5168949771689497,0.7013698630136986,0.5431506849315069,0.0,0.1278538812785388,0.0,0.673972602739726,1.3643835616438356,0.0438356164383561,0.0,0.0
DNK,2022,0.028310502283105,0.05662100456621,0.0424657534246575,0.0,0.0,0.0,0.0,0.0595890410958904,0.0,0.0,,
DOM,2020,0.7868852459016393,0.581056466302368,0.7868852459016393,0.7568306010928961,0.4781420765027322,0.4972677595628415,0.5491803278688525,0.4296448087431694,0.7650273224043715,0.0,1730949.1754644809,0.0
DOM,2021,0.7123287671232876,0.5223744292237442,0.9506849315068492,0.995890410958904,0.4246575342465753,0.5232876712328767,0.1493150684931506,0.3452054794520548,0.589041095890411,0.0,1929884.575990991,0.0
DOM,2022,0.0429223744292237,0.0429223744292237,0.0643835616438356,0.1287671232876712,0.0643835616438356,0.0,0.0,0.0767123287671232,0.0,0.0,,
GBR,2020,0.6211293260473588,0.6038251366120219,0.7868852459016393,0.7752732240437158,0.3920765027322404,0.3351548269581056,0.7090163934426229,0.2882513661202185,1.5683060109289615,1.5792349726775956,500777230.8360822,1572005.7412568305
GBR,2021,0.4858447488584474,0.6748858447488584,0.7205479452054795,0.9226027397260274,0.5,0.1844748858447488,0.3547945205479452,0.7383561643835617,1.4958904109589042,1.747945205479452,63821336.35111112,0.0
GBR,2022,0.0986301369863013,0.0977168949771689,0.1726027397260274,0.0924657534246575,0.1465753424657534,0.0,0.0,0.0520547945205479,0.0,0.4301369863013699,,
GEO,2020,0.8087431693989071,0.5692167577413478,0.680327868852459,0.6502732240437158,0.3715846994535519,0.4590163934426229,0.4590163934426229,0.7725409836065574,0.6885245901639344,0.6885245901639344,5545726.58630137,0.0
GEO,2021,0.2273972602739726,0.5114155251141552,0.8547945205479452,1.0,0.2328767123287671,0.3442922374429223,0.4794520547945205,0.4150684931506849,0.4712328767123288,0.8054794520547945,0.0,0.0
GEO,2022,0.0146118721461187,0.1351598173515981,0.1794520547945205,0.084931506849315,0.0,0.0,0.0,0.1534246575342465,0.0,0.0,,
GTM,2020,0.7950819672131147,0.5646630236794171,0.6775956284153005,0.7930327868852459,0.5765027322404371,0.3515482695810564,0.5355191256830601,0.6345628415300546,0.6967213114754098,1.3934426229508197,10840514.737540985,0.0
GTM,2021,0.5753424657534246,0.4621004566210045,0.9821917808219178,0.9486301369863014,0.6068493150684932,0.1086757990867579,0.0986301369863013,0.5945205479452055,0.4054794520547945,2.0,0.0,0.0
GTM,2022,0.6666666666666666,0.2456621004566209,0.6013698630136987,0.6636986301369863,0.4835616438356164,0.1068493150684931,0.0,0.1657534246575342,0.410958904109589,0.821917808219178,,
ISL,2020,0.3096539162112932,0.3342440801457195,0.7363387978142076,0.5758196721311475,0.0,0.0,0.0,0.6577868852459017,1.5628415300546448,1.6229508196721312,5964164.31693989,0.0
ISL,2021,0.3808219178082191,0.3835616438356164,0.5027397260273972,0.5821917808219178,0.0630136986301369,0.0,0.0,0.536986301369863,2.0,2.0,0.0,0.0
ISL,2022,0.0502283105022831,0.0502283105022831,0.0753424657534246,0.1164383561643835,0.0,0.0,0.0,0.0472602739726027,1.0520547945205478,0.7506849315068493,,
JOR,2020,0.7978142076502732,0.3697632058287795,0.7896174863387978,0.519808743169399,0.3060109289617486,0.4763205828779598,0.4562841530054645,0.7192622950819673,0.7595628415300546,0.7896174863387978,1926229.508196721,0.0
JOR,2021,0.4712328767123288,0.4082191780821917,0.5,0.5219178082191781,0.3328767123287671,0.4438356164383562,0.2465753424657534,0.6417808219178082,1.0,0.1452054794520547,2952710.280373832,0.0
JOR,2022,0.0,0.1497716894977168,0.0808219178082191,0.2246575342465753,0.0,0.0,0.0,0.1212328767123287,0.7753424657534247,0.1342465753424657,,
KAZ,2020,0.7094717668488161,0.5510018214936248,0.8060109289617486,0.7916666666666666,0.5655737704918032,0.5045537340619307,0.7431693989071039,0.7862021857923497,0.2814207650273224,0.7786885245901639,35822068.08469945,16393.44262295082
KAZ,2021,0.5789954337899543,0.5735159817351597,1.0,1.0,0.5561643835616439,0.2922374429223744,0.8301369863013699,0.75,0.1589041095890411,0.2410958904109589,0.0,0.0
KAZ,2022,0.1260273972602739,0.1159817351598173,0.2602739726027397,0.2602739726027397,0.0383561643835616,0.1178082191780822,0.2904109589041095,0.2068493150684931,0.0,0.0,,
KHM,2020,0.6666666666666666,0.5282331511839709,0.3497267759562841,0.5218579234972678,0.76775956284153,0.1466302367941712,0.0218579234972677,0.4316939890710382,1.2295081967213115,0.0,1769863.01369863,0.0
KHM,2021,0.7452054794520548,0.8009132420091324,1.0,0.9102739726027396,0.8534246575342466,0.5990867579908675,0.7561643835616438,0.5383561643835616,0.8136986301369863,0.0,0.0,0.0
KHM,2022,0.3123287671232876,0.1470319634703196,0.184931506849315,0.0780821917808219,0.0,0.0054794520547945,0.0438356164383561,0.1904109589041095,0.5342465753424658,0.0,,
KOR,2020,0.6602914389799636,0.4918032786885246,0.796448087431694,0.6564207650273224,0.0,0.2750455373406192,0.5423497267759563,0.6038251366120219,0.7568306010928961,0.7923497267759563,710238625.7398361,168306.01092896174
KOR,2021,0.5662100456621004,0.473972602739726,0.7780821917808219,1.0,0.0,0.165296803652968,0.2424657534246575,0.6089041095890411,1.0,0.0,57709251.10132159,0.0
KOR,2022,0.0337899543378995,0.1954337899543378,0.1465753424657534,0.2931506849315068,0.0,0.0,0.0,0.2719178082191781,1.0,0.4383561643835616,,
MAR,2020,0.6229508196721312,0.5063752276867031,0.8005464480874317,0.7049180327868853,0.3224043715846995,0.4462659380692167,0.8019125683060109,0.7240437158469946,0.7759562841530054,1.2404371584699454,46284075.82513661,0.0
MAR,2021,0.284931506849315,0.6009132420091323,0.7945205479452054,0.9568493150684932,0.3493150684931507,0.5799086757990868,0.826027397260274,0.6904109589041096,0.7753424657534247,0.1205479452054794,0.0,0.0
MAR,2022,0.1433789954337899,0.3333333333333333,0.1643835616438356,0.021917808219178,0.0,0.0027397260273972,0.0,0.2842465753424658,0.2191780821917808,0.0,,
MDA,2020,0.5883424408014573,0.4836065573770491,0.7909836065573771,0.7527322404371585,0.3169398907103825,0.2304189435336976,0.4344262295081967,0.6454918032786885,0.7459016393442623,0.7459016393442623,1260919.1475409835,1595784.1530054645
MDA,2021,0.4931506849315068,0.589041095890411,0.9671232876712328,0.9328767123287672,0.1794520547945205,0.3232876712328767,0.2534246575342466,0.4698630136986301,1.0,1.0,0.0,0.0
MDA,2022,0.0721461187214611,0.0958904109589041,0.2027397260273972,0.2027397260273972,0.0,0.0,0.0,0.0643835616438356,0.7698630136986301,0.6136986301369863,,
MEX,2020,0.7759562841530054,0.6848816029143898,0.773224043715847,0.5758196721311475,0.378415300546448,0.4981785063752276,0.7650273224043715,0.4576502732240437,0.2295081967213114,0.4590163934426229,13726567.796202185,0.0
MEX,2021,0.7735159817351598,0.7232876712328767,0.6397260273972603,0.2383561643835616,0.5,0.4264840182648401,0.9917808219178084,0.25,0.1068493150684931,1.106849315068493,0.0,0.0
MEX,2022,0.3159817351598173,0.2520547945205479,0.3013698630136986,0.0,0.1082191780821917,0.084931506849315,0.2835616438356164,0.25,0.0,0.3315068493150685,,
MUS,2020,0.2841530054644808,0.209471766848816,0.2377049180327868,0.1721311475409836,0.1188524590163934,0.1384335154826958,0.0928961748633879,0.662568306010929,1.2978142076502732,0.5792349726775956,357029.6010928962,0.0
MUS,2021,0.5671232876712329,0.4127853881278538,0.6123287671232877,0.6876712328767123,0.2095890410958904,0.2082191780821917,0.3821917808219178,0.6753424657534246,1.5178082191780822,1.868493150684932,6461052.631578947,219.2982456140351
MUS,2022,0.0748858447488584,0.0082191780821917,0.3945205479452054,0.4013698630136986,0.0,0.0,0.0,0.1143835616438356,0.0547945205479452,0.8931506849315068,,
MYS,2020,0.6912568306010929,0.6566484517304189,0.7704918032786885,0.5136612021857924,0.0915300546448087,0.3770491803278688,0.6079234972677595,0.7028688524590164,0.7377049180327869,1.5027322404371584,211475409.8360656,0.0
MYS,2021,0.8557077625570776,0.719634703196347,0.9602739726027396,0.8986301369863013,0.4506849315068493,0.4958904109589041,0.8712328767123287,0.6972602739726027,1.0,2.0,272050000.0,0.0
MYS,2022,0.1114155251141552,0.2429223744292237,0.1671232876712328,0.0054794520547945,0.0,0.0,0.0027397260273972,0.2082191780821917,1.0,2.0,,
NOR,2020,0.3652094717668488,0.3934426229508196,0.3743169398907104,0.6516393442622951,0.0887978142076502,0.0519125683060109,0.383879781420765,0.5717213114754098,1.5683060109289615,0.0,57849801.32188525,637811.1986338798
NOR,2021,0.4520547945205479,0.5552511415525114,0.5643835616438356,0.6308219178082192,0.3452054794520548,0.2593607305936072,0.2,0.6164383561643836,2.0,0.0,0.0,0.0
NOR,2022,0.0502283105022831,0.0666666666666666,0.0424657534246575,0.084931506849315,0.0,0.0383561643835616,0.0,0.0287671232876712,1.7205479452054795,0.0,,
NZL,2020,0.2194899817850637,0.2131147540983606,0.3483606557377049,0.3408469945355191,0.1161202185792349,0.1311475409836065,0.1967213114754098,0.880464480874317,1.4180327868852458,1.2513661202185793,31420765.027322404,0.0
NZL,2021,0.3625570776255708,0.3415525114155251,0.3904109589041096,0.3719178082191781,0.3287671232876712,0.2191780821917808,0.4027397260273972,1.0,1.0,1.5945205479452054,9419.380350877194,0.0
NZL,2022,0.0931506849315068,0.0931506849315068,0.1397260273972602,0.1397260273972602,0.0,0.0,0.1095890410958904,0.3527397260273973,1.0,0.0,,
POL,2020,0.611111111111111,0.4681238615664844,0.5027322404371585,0.5327868852459017,0.2185792349726776,0.1357012750455373,0.3319672131147541,0.6653005464480874,1.0765027322404372,0.7704918032786885,245752291.5655737,0.0
POL,2021,0.5287671232876713,0.5004566210045662,0.7013698630136986,0.7315068493150685,0.2410958904109589,0.3315068493150685,0.284931506849315,0.4226027397260274,2.0,1.4246575342465753,10235511.111111112,0.0
POL,2022,0.3643835616438356,0.1315068493150684,0.0698630136986301,0.1212328767123287,0.0,0.0,0.0,0.1041095890410958,0.3232876712328767,0.3232876712328767,,
PRY,2020,0.7650273224043715,0.6129326047358834,0.8114754098360656,0.7015027322404371,0.2199453551912568,0.5901639344262295,0.4494535519125683,0.6912568306010929,0.7540983606557377,1.3879781420765027,13212820.448087431,0.0
PRY,2021,0.536986301369863,0.4931506849315068,0.6150684931506849,0.7445205479452055,0.0863013698630137,0.5205479452054794,0.0,0.4212328767123288,0.6301369863013698,0.0547945205479452,0.0,0.0
PRY,2022,0.1242009132420091,0.1242009132420091,0.1945205479452054,0.108904109589041,0.0,0.0,0.0,0.2041095890410958,0.0,0.0,,
RWA,2020,0.6867030965391622,0.5673952641165756,0.8169398907103825,0.5737704918032787,0.3360655737704918,0.5336976320582878,0.5778688524590164,0.6092896174863388,0.6721311475409836,1.5792349726775956,443639.3442622951,0.0
RWA,2021,0.404566210045662,0.6968036529680365,0.7232876712328767,0.8356164383561644,0.5452054794520548,0.6666666666666666,0.3890410958904109,0.4404109589041096,0.6657534246575343,1.3315068493150686,0.0,0.0
RWA,2022,0.1114155251141552,0.2100456621004565,0.121917808219178,0.121917808219178,0.147945205479452,0.1150684931506849,0.4876712328767123,0.1541095890410959,0.0,0.0,,
SEN,2020,0.5309653916211293,0.1384335154826958,0.6489071038251366,0.4549180327868852,0.0,0.2650273224043716,0.2076502732240437,0.6755464480874317,0.680327868852459,1.371584699453552,5404918.032786885,0.0
SEN,2021,0.0255707762557077,0.1315068493150684,0.210958904109589,0.1541095890410959,0.0,0.1315068493150684,0.0164383561643835,0.6404109589041096,0.0,0.0,0.0,0.0
SEN,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,
SLV,2020,0.8087431693989071,0.4781420765027322,0.6530054644808743,0.5744535519125683,0.4166666666666667,0.6001821493624772,0.6475409836065574,0.6769125683060109,0.7513661202185792,1.4453551912568303,4871232.876712329,0.0
SLV,2021,0.4136986301369863,0.3333333333333333,0.7191780821917808,0.1342465753424657,0.0,0.0940639269406392,0.1205479452054794,0.3376712328767123,0.8136986301369863,0.7671232876712328,93764.26244343891,0.0
SLV,2022,0.3433789954337899,0.3333333333333333,0.2506849315068493,0.2931506849315068,0.0,0.0,0.0,0.0164383561643835,0.0,0.0,,
SWE,2020,0.4262295081967213,0.2996357012750455,0.7827868852459017,0.6188524590163934,0.3756830601092896,0.2568306010928962,0.1885245901639344,0.625,1.6174863387978142,0.3907103825136612,22301008.321584698,326504.368852459
SWE,2021,0.2191780821917808,0.3242009132420091,0.5904109589041096,0.7054794520547946,0.2671232876712329,0.2474885844748858,0.2671232876712329,0.2993150684931507,1.4958904109589042,0.5232876712328767,0.0,105383.52289473685
SWE,2022,0.0356164383561643,0.0100456621004566,0.0534246575342465,0.0821917808219178,0.0,0.0255707762557077,0.0,0.0616438356164383,0.2465753424657534,0.0,,
TGO,2020,0.5409836065573771,0.4781420765027322,0.6407103825136612,0.4788251366120218,0.1284153005464481,0.2522768670309653,0.51775956284153,0.555327868852459,0.73224043715847,0.7622950819672131,1831351.716857924,0.0
TGO,2021,0.1269406392694063,0.3324200913242009,0.9849315068493152,0.678082191780822,0.0260273972602739,0.1954337899543378,0.7438356164383562,0.5191780821917809,0.978082191780822,1.917808219178082,0.0,0.0
TGO,2022,0.0821917808219178,0.2885844748858447,0.6808219178082192,0.75,0.0,0.5077625570776255,0.0,0.3212328767123287,0.2,0.4,,
THA,2020,0.4626593806921676,0.3852459016393442,0.5259562841530054,0.453551912568306,0.2691256830601093,0.2604735883424408,0.5915300546448088,0.6434426229508197,1.5027322404371584,1.2759562841530054,381692143.8306011,0.0
THA,2021,0.6821917808219178,0.5260273972602739,0.9315068493150684,0.8034246575342465,0.2794520547945205,0.439269406392694,0.7602739726027398,0.647945205479452,1.0520547945205478,1.9287671232876715,103696795.53303964,0.0
THA,2022,0.3735159817351597,0.4073059360730593,0.3178082191780822,0.3294520547945205,0.0,0.0,0.1945205479452054,0.2554794520547945,0.3287671232876712,0.6575342465753424,,
TON,2020,0.2577413479052823,0.1056466302367941,0.4494535519125683,0.5881147540983607,0.0382513661202185,0.5045537340619307,0.0382513661202185,0.8524590163934426,0.0,0.1530054644808743,0.0,0.0
TON,2021,0.2182648401826483,0.0191780821917808,0.5123287671232877,0.7547945205479452,0.0191780821917808,0.6648401826484018,0.0191780821917808,0.9856164383561644,0.0,0.0,0.0,0.0
TON,2022,0.3990867579908675,0.439269406392694,0.4575342465753425,0.4383561643835616,0.2630136986301369,0.4913242009132419,0.589041095890411,0.6856164383561644,0.2438356164383561,0.2520547945205479,,
UGA,2020,0.7131147540983607,0.5519125683060109,0.7172131147540983,0.6844262295081968,0.5614754098360656,0.5045537340619307,0.5068306010928961,0.5778688524590164,0.0,1.0792349726775956,1181480.5131967214,0.0
UGA,2021,0.7744292237442922,0.6666666666666666,0.6945205479452055,0.5267123287671233,0.5301369863013699,0.6474885844748858,0.6013698630136987,0.3458904109589041,0.4082191780821917,0.0,0.0,0.0
UGA,2022,0.1214611872146118,0.6666666666666666,0.2917808219178082,0.2397260273972602,0.9671232876712328,0.0438356164383561,0.010958904109589,0.25,0.0,0.1917808219178082,,
UKR,2020,0.7941712204007286,0.4899817850637522,0.4877049180327868,0.5,0.7144808743169399,0.2650273224043716,0.7704918032786885,0.5150273224043715,0.8060109289617486,0.7704918032786885,11378626.774027398,0.0
UKR,2021,0.719634703196347,0.6036529680365297,0.7561643835616438,0.5979452054794521,0.4397260273972603,0.1625570776255707,0.673972602739726,0.3965753424657534,1.0,0.8904109589041096,246271.83574879228,0.0
UKR,2022,0.0767123287671232,0.147945205479452,0.2219178082191781,0.0,0.1835616438356164,0.073972602739726,0.2301369863013698,0.3226027397260274,1.0,1.0,,
USA,2020,0.825136612021858,0.6193078324225865,0.8210382513661202,0.75,0.3961748633879781,0.5318761384335154,0.7937158469945356,0.6782786885245902,1.530054644808743,0.7650273224043715,9411506849.31507,5931557.377049181
USA,2021,0.6968036529680365,0.5050228310502283,0.7780821917808219,0.958904109589041,0.5,0.3899543378995433,0.5904109589041096,0.7226027397260274,1.0273972602739727,0.7506849315068493,11111111111.11111,0.0
USA,2022,0.3890410958904109,0.3333333333333333,0.1506849315068493,0.1589041095890411,0.4123287671232877,0.2191780821917808,0.1273972602739726,0.25,0.0,0.0,,
UZB,2020,0.6010928961748634,0.4663023679417122,0.605191256830601,0.5915300546448088,0.3019125683060109,0.3834244080145719,0.3101092896174863,0.605191256830601,0.7513661202185792,0.773224043715847,4925734.234972677,0.0
UZB,2021,0.4538812785388127,0.0712328767123287,0.6082191780821918,0.739041095890411,0.2301369863013698,0.0027397260273972,0.3150684931506849,0.6815068493150684,0.9534246575342464,1.8273972602739723,0.0,0.0
UZB,2022,0.0977168949771689,0.0721461187214611,0.3465753424657534,0.2047945205479452,0.0,0.0,0.1315068493150684,0.210958904109589,0.2356164383561644,0.5287671232876713,,
ZAF,2020,0.52367941712204,0.4508196721311475,0.6543715846994536,0.5539617486338798,0.2336065573770492,0.4744990892531875,0.5136612021857924,0.6741803278688525,0.6967213114754098,1.185792349726776,161409823.46994534,0.0
ZAF,2021,0.3899543378995433,0.439269406392694,0.6424657534246575,0.7465753424657534,0.5,0.663013698630137,0.0767123287671232,0.3054794520547945,0.9232876712328768,1.4136986301369865,0.0,0.0
ZAF,2022,0.0456621004566209,0.3141552511415524,0.3438356164383561,0.2904109589041095,0.2356164383561644,0.0,0.0,0.1178082191780822,1.0,0.5643835616438356,,
